- PID: 0	Name: Idle	Virtual memory: 0,01 MB
- PID: 45240	Name: firefox	Virtual memory: 2.103.733,32 MB
- PID: 53556	Name: firefox	Virtual memory: 2.128.431,70 MB
- PID: 5324	Name: firefox	Virtual memory: 2.101.755,62 MB
- PID: 10700	Name: UserOOBEBroker	Virtual memory: 2.101.342,45 MB
- PID: 60304	Name: Microsoft.Photos	Virtual memory: 5.069,24 MB
- PID: 55196	Name: RuntimeBroker	Virtual memory: 2.101.398,00 MB
- PID: 65408	Name: SettingSyncHost	Virtual memory: 2.101.430,35 MB
- PID: 51652	Name: rundll32	Virtual memory: 2.101.341,86 MB
- PID: 39212	Name: ShellExperienceHost	Virtual memory: 2.101.722,53 MB
- PID: 15180	Name: RuntimeBroker	Virtual memory: 2.101.404,99 MB
- PID: 86296	Name: dllhost	Virtual memory: 2.101.622,55 MB
- PID: 61720	Name: YourPhone	Virtual memory: 5.038,58 MB
- PID: 89424	Name: RuntimeBroker	Virtual memory: 2.101.349,59 MB
- PID: 72612	Name: Teams	Virtual memory: 2.106.136,07 MB
- PID: 72276	Name: Teams	Virtual memory: 2.102.082,43 MB
- PID: 80780	Name: Teams	Virtual memory: 2.101.568,61 MB
- PID: 97432	Name: Teams	Virtual memory: 2.105.719,50 MB
- PID: 31112	Name: Teams	Virtual memory: 2.114.174,48 MB
- PID: 38080	Name: Teams	Virtual memory: 2.101.570,85 MB
- PID: 36444	Name: Teams	Virtual memory: 2.105.856,87 MB
- PID: 71056	Name: Teams	Virtual memory: 2.106.375,78 MB
- PID: 69068	Name: RuntimeBroker	Virtual memory: 2.101.370,94 MB
- PID: 72576	Name: steamwebhelper	Virtual memory: 8.663,80 MB
- PID: 50172	Name: Discord	Virtual memory: 1.396,38 MB
- PID: 42224	Name: Video.UI	Virtual memory: 2.101.999,36 MB
- PID: 52540	Name: RuntimeBroker	Virtual memory: 2.101.331,62 MB
- PID: 1656	Name: audiodg	Virtual memory: 2.101.334,17 MB
- PID: 93308	Name: ApplicationFrameHost	Virtual memory: 2.101.484,45 MB
- PID: 93624	Name: SystemSettings	Virtual memory: 2.101.762,76 MB
- PID: 94468	Name: firefox	Virtual memory: 2.104.056,30 MB
- PID: 88096	Name: firefox	Virtual memory: 2.103.616,66 MB
- PID: 14908	Name: devenv	Virtual memory: 8.617,22 MB
- PID: 39020	Name: PerfWatson2	Virtual memory: 5.102,87 MB
- PID: 88056	Name: Microsoft.ServiceHub.Controller	Virtual memory: 4.745,83 MB
- PID: 89672	Name: ServiceHub.VSDetouredHost	Virtual memory: 5.179,73 MB
- PID: 46208	Name: ServiceHub.IdentityHost	Virtual memory: 387,34 MB
- PID: 83368	Name: ServiceHub.SettingsHost	Virtual memory: 553,96 MB
- PID: 25584	Name: ServiceHub.Host.CLR.x86	Virtual memory: 408,92 MB
- PID: 90468	Name: ServiceHub.Host.CLR.x64	Virtual memory: 5.306,75 MB
- PID: 42568	Name: firefox	Virtual memory: 2.103.616,66 MB
- PID: 76368	Name: firefox	Virtual memory: 2.103.616,66 MB
- PID: 75168	Name: ServiceHub.RoslynCodeAnalysisService	Virtual memory: 5.379,79 MB
- PID: 35012	Name: MSBuild	Virtual memory: 4.767,58 MB
- PID: 56908	Name: conhost	Virtual memory: 2.101.347,98 MB
- PID: 93604	Name: devenv	Virtual memory: 8.391,12 MB
- PID: 20268	Name: PerfWatson2	Virtual memory: 5.067,11 MB
- PID: 90128	Name: Microsoft.ServiceHub.Controller	Virtual memo
